UMAP1,UMAP2,UMAP3,Class,Original_Label
-2.2838767,-1.2899548,9.714232,Click,1
-2.1949012,-2.9110866,4.0283346,Click,1
-3.1574588,-2.2142658,6.4793468,Click,1
2.3779895,6.868405,-1.6109211,Click,1
-2.03339,-0.9155901,7.688631,Click,1
-2.0781784,-1.1258903,9.561227,Click,1
-2.9468102,-2.2561405,6.716586,Click,1
-1.1134272,-1.348449,6.2865715,Click,1
-2.3250916,-1.5401818,7.8447614,Click,1
-1.8107859,-3.2869244,5.4987087,Click,1
-3.1719565,-2.1491082,6.529223,Click,1
2.5285554,7.0185533,-1.4805739,Click,1
-2.0422707,-1.7736112,8.220995,Click,1
-1.3220955,-2.421943,6.1803007,Click,1
-1.434897,-0.6782351,9.030163,Click,1
-2.6119475,-1.7056321,7.54254,Click,1
-2.441717,-2.169193,4.842991,Click,1
-2.3520195,-0.5519648,6.6119304,Click,1
-3.1707394,-2.1937592,6.487899,Click,1
-2.3723211,-1.5939132,7.923729,Click,1
-1.8136871,-2.4042938,4.7404733,Click,1
-2.6273715,-0.88299847,6.4606295,Click,1
-2.7051759,-1.9934391,7.4768386,Click,1
-1.7122718,-0.837083,9.141971,Click,1
0.014315359,4.191124,1.4208084,Click,1
5.8836975,12.834252,9.298389,Click,1
-2.3290095,-0.5833628,6.6499176,Click,1
-2.3079164,-2.7910128,3.865373,Click,1
-2.9178646,-1.7446026,3.4399035,Click,1
-2.4058163,-0.63120013,6.7529616,Click,1
1.4830874,2.5026095,3.8779635,Click,1
-1.7419244,-2.6355133,6.5133886,Click,1
-2.206351,-0.30575484,6.155974,Click,1
1.9477575,2.2730806,3.9711165,Click,1
-1.5829796,3.05975,3.876286,Click,1
-2.2527344,-0.3790937,6.4732666,Click,1
-1.8699737,-3.2967856,5.2859616,Click,1
-1.3112118,-2.6581059,7.1975617,Click,1
-2.3009245,-1.7016892,7.035601,Click,1
-1.9826756,-3.0522084,4.325476,Click,1
